Open,High,Low,Close,TickVolume
1.16462,1.16752,1.16462,1.16667,9820
1.16667,1.16924,1.16593,1.1684,13003
1.16842,1.16937,1.1636,1.16414,28106
1.16416,1.16509,1.16019,1.16377,30730
1.16377,1.16537,1.15991,1.16255,43176
1.16255,1.16305,1.16057,1.16206,17161
1.16207,1.16221,1.15736,1.15831,22372
1.1583,1.15908,1.15678,1.15777,14762
1.15776,1.16168,1.1572,1.15976,32901
1.15976,1.16078,1.15497,1.15646,31685
1.15648,1.1579,1.14989,1.15339,43563
1.15339,1.15554,1.15325,1.15442,15164
1.15418,1.15596,1.15255,1.15503,8540
1.15497,1.15556,1.15397,1.15505,13748
1.15504,1.15695,1.15324,1.15553,24476
1.15553,1.15888,1.15316,1.15399,31149
1.15399,1.15889,1.15154,1.15238,44009
1.15237,1.15238,1.14957,1.15126,18756
1.14797,1.14984,1.14653,1.14797,13571
1.14795,1.14931,1.14568,1.14648,20986
1.14648,1.14941,1.14435,1.14903,35058
1.14902,1.15189,1.14803,1.1491,23518
1.14911,1.15214,1.14911,1.15151,16618
1.15154,1.15216,1.15127,1.15167,3426
1.15159,1.15913,1.15088,1.15905,10134
1.15904,1.16001,1.15599,1.1563,18974
1.1563,1.16094,1.15492,1.15742,38542
1.15741,1.16086,1.15466,1.15471,30063
1.15472,1.15516,1.14938,1.15302,43767
1.15303,1.15329,1.15125,1.15184,17916
1.15141,1.15238,1.14785,1.14798,7410
1.14795,1.1486,1.14512,1.14781,21225
1.14786,1.15234,1.14694,1.14955,27810
1.14955,1.15015,1.14141,1.14315,33598
1.14315,1.15004,1.1405,1.14952,35102
1.14952,1.15395,1.14938,1.15331,14844
1.15316,1.15411,1.15004,1.15059,10691
1.15059,1.1516,1.14905,1.15051,18297
1.15051,1.15222,1.14779,1.14958,31700
1.14959,1.15609,1.14761,1.15029,36363
1.15027,1.15162,1.14605,1.14817,50657
1.14817,1.15171,1.14791,1.15012,20832
1.14972,1.1552,1.14881,1.15427,12430
1.15427,1.15959,1.15402,1.1588,21937
1.15881,1.16482,1.15785,1.16297,32180
1.16297,1.16306,1.15511,1.15754,31355
1.15753,1.16023,1.15677,1.16015,33543
1.16015,1.16016,1.15806,1.15863,10578
1.16355,1.16376,1.16021,1.16117,10349
1.16115,1.16288,1.16005,1.16049,15245
1.1605,1.17,1.16048,1.16918,39589
1.16918,1.17045,1.16631,1.16922,29376
1.16922,1.17108,1.16636,1.17091,29260
1.17091,1.17091,1.16752,1.16807,13211
1.16807,1.17054,1.16752,1.1695,9100
1.16948,1.16982,1.16788,1.16817,13693
1.16819,1.17324,1.16798,1.17144,24350
1.17144,1.17383,1.15536,1.15554,33163
1.1555,1.15846,1.15153,1.15245,42674
1.15244,1.15371,1.14915,1.14919,17910
1.14943,1.15125,1.14807,1.15019,15086
1.15019,1.153,1.14873,1.15211,17058
1.1521,1.15524,1.14799,1.15383,37187
1.15379,1.15727,1.15328,1.15568,32743
1.15569,1.15898,1.15395,1.15656,33162
1.15654,1.15705,1.15265,1.15392,13444
1.15392,1.15492,1.15097,1.15337,3829
1.15337,1.15476,1.15201,1.15246,5751
1.15248,1.15382,1.15063,1.15281,19334
1.1528,1.15282,1.14717,1.15095,26463
1.15093,1.15175,1.14633,1.14811,31821
1.14811,1.14987,1.14616,1.14685,10889
1.14685,1.14783,1.14507,1.14709,5276
1.14709,1.14803,1.14548,1.14657,5803
1.14657,1.14657,1.13507,1.13708,27121
1.1371,1.14136,1.1371,1.13783,25831
1.13784,1.14469,1.13766,1.13974,39230
1.13974,1.14259,1.13861,1.1423,15230
1.14054,1.14416,1.14054,1.14242,5794
1.14242,1.14282,1.13941,1.14012,7780
1.14013,1.14048,1.13649,1.1366,16353
1.1366,1.13913,1.13555,1.13717,19683
1.13716,1.14211,1.1363,1.14177,21380
1.14178,1.14401,1.14081,1.14322,9033
1.14288,1.14604,1.14105,1.14306,8853
1.14306,1.14364,1.14089,1.14279,8956
1.14279,1.14608,1.14124,1.14323,20554
1.14323,1.14556,1.14058,1.14182,26750
1.1418,1.1426,1.13721,1.13835,30486
1.13835,1.13876,1.13574,1.13799,14894
1.13763,1.13841,1.13638,1.13717,9007
1.13717,1.13826,1.1365,1.13683,10672
1.13683,1.13828,1.13041,1.13299,35396
1.13299,1.13497,1.13276,1.13426,21658
1.13424,1.13504,1.13126,1.13143,29508
1.13144,1.13573,1.12358,1.12681,42779
1.12648,1.12918,1.12243,1.12272,7949
1.12272,1.1254,1.12198,1.1243,17880
1.12429,1.13547,1.12117,1.13259,45837
1.13259,1.13649,1.12695,1.1336,45409
1.13344,1.13356,1.12417,1.12644,43570
1.12644,1.1271,1.12499,1.12538,16039
1.12576,1.12741,1.12502,1.12642,5780
1.1264,1.12686,1.12225,1.12318,12321
1.12317,1.12447,1.11506,1.11751,29913
1.11753,1.12096,1.10205,1.10609,56557
1.10608,1.10964,1.08621,1.08964,52561
1.08967,1.0904,1.08388,1.08449,27148
1.07948,1.08457,1.03889,1.03998,25086
1.03973,1.06025,1.03528,1.05339,42859
1.0534,1.07893,1.05239,1.07542,65432
1.07542,1.09303,1.06718,1.08802,63105
1.08804,1.08914,1.06312,1.06815,71832
1.06812,1.07202,1.06416,1.06895,22939
1.06771,1.07887,1.06512,1.07697,11348
1.07696,1.07932,1.07381,1.07698,23591
1.07698,1.0838,1.07638,1.08074,47429
1.08069,1.0826,1.07692,1.07715,44085
1.0772,1.07954,1.06606,1.06756,65234
1.06756,1.07365,1.06584,1.0729,29377
1.07283,1.07384,1.06855,1.06916,8826
1.06914,1.0699,1.06309,1.06476,19203
1.06481,1.07123,1.06402,1.06899,53301
1.069,1.08398,1.05395,1.06722,74392
1.06715,1.08759,1.06192,1.08608,73241
1.08609,1.09153,1.08524,1.0888,19119
1.08859,1.08872,1.08036,1.08058,15999
1.08055,1.08265,1.07817,1.0807,26626
1.08073,1.08172,1.07622,1.07979,56769
1.07979,1.08977,1.07968,1.08787,56661
1.08787,1.11087,1.08783,1.10594,65873
1.10598,1.11191,1.10375,1.11162,27616
1.11099,1.12016,1.11077,1.11573,19083
1.11572,1.1175,1.107,1.11059,32188
1.1106,1.12346,1.10927,1.12173,54190
1.12185,1.12211,1.1025,1.10687,56853
1.10687,1.11769,1.10504,1.11295,68379
1.11293,1.118,1.1118,1.11545,24797
1.11595,1.11935,1.11103,1.11274,11965
1.11275,1.11631,1.10859,1.10936,19181
1.10936,1.12814,1.10912,1.12103,53511
1.12103,1.12397,1.11693,1.12167,29038
1.12167,1.13345,1.11999,1.1276,59744
1.12762,1.13265,1.1265,1.13223,22890
1.13186,1.13433,1.13097,1.133,10869
1.133,1.1336,1.12802,1.1321,22431
1.13208,1.14294,1.13184,1.13793,55798
1.13792,1.13937,1.12992,1.1385,50167
1.13856,1.14895,1.13513,1.14543,56019
1.14544,1.14815,1.14273,1.14737,19205
1.14733,1.14871,1.14198,1.14391,9996
1.1439,1.14641,1.14137,1.14325,20237
1.14325,1.1496,1.138,1.14225,45875
1.14225,1.14294,1.13047,1.1321,38955
1.13211,1.13277,1.12271,1.12906,54311
1.12906,1.13566,1.12891,1.13253,23808
1.13225,1.13833,1.12969,1.13629,18188
1.13629,1.1379,1.13325,1.1366,25010
1.1366,1.13672,1.12788,1.12885,48249
1.12886,1.13157,1.12416,1.1266,42867
1.1266,1.12694,1.11131,1.11442,57734
1.11443,1.11929,1.11415,1.11576,26619
1.11557,1.11726,1.11344,1.11481,14421
1.11482,1.11892,1.11389,1.11538,17221
1.1154,1.12192,1.11153,1.11927,43491
1.1193,1.1225,1.10913,1.11326,39443
1.11323,1.11698,1.10906,1.10976,55651
1.10979,1.11042,1.10552,1.10863,24805
1.10798,1.10958,1.10576,1.10876,20627
1.10876,1.11109,1.10692,1.10806,25412
1.10806,1.11107,1.10272,1.10547,47265
1.10548,1.10999,1.10425,1.10737,31730
1.10739,1.10813,1.10249,1.1027,44169
1.10268,1.10816,1.10196,1.1054,29396
1.10525,1.1095,1.10496,1.10873,13080
1.10873,1.10943,1.10179,1.10233,29640
1.10231,1.10563,1.09974,1.1044,59073
1.10438,1.11142,1.1031,1.10879,44249
1.1088,1.11799,1.10436,1.11617,62208
1.11618,1.11649,1.09519,1.09667,43026
1.09627,1.09918,1.0948,1.09698,23349
1.09697,1.10605,1.0923,1.09969,49144
1.09962,1.10655,1.09539,1.10363,65553
1.10365,1.10989,1.1021,1.10471,47992
1.10471,1.10997,1.10221,1.10627,57503
1.10625,1.11335,1.10599,1.10982,34347
1.10983,1.11198,1.10876,1.11115,18072
1.11115,1.11148,1.10754,1.10896,26348
1.10895,1.11038,1.10575,1.11032,45978
1.11032,1.12973,1.11,1.12167,49363
1.12162,1.13805,1.11589,1.13295,67620
