Open,Close
1.22477,1.2277
1.22771,1.22483
1.22451,1.22701
1.22701,1.22485
1.22485,1.21917
1.21913,1.22213
1.2222,1.22144
1.22139,1.21652
1.216,1.21463
1.21466,1.21796
1.21795,1.21785
1.21785,1.21746
1.21745,1.21427
1.21427,1.21462
1.21412,1.21585
1.21584,1.21554
1.21554,1.21648
1.21649,1.21129
1.21127,1.21459
1.21455,1.21586
1.2155,1.21381
1.21381,1.21404
1.21404,1.21446
1.21446,1.20274
1.20273,1.20775
1.20773,1.2073
1.20659,1.2056
1.20559,1.20763
1.20763,1.20855
1.20855,1.21208
1.2121,1.20771
1.20772,1.20806
1.2077,1.20778
1.20779,1.20845
1.20848,1.21183
1.21191,1.21073
1.21073,1.20829
1.20829,1.20769
1.20736,1.20684
1.20683,1.20835
1.20835,1.20951
1.20953,1.22188
1.22189,1.2248
1.2248,1.22141
1.22114,1.2209
1.2209,1.21904
1.21904,1.22419
1.22422,1.22353
1.22353,1.22239
1.22243,1.22026
1.21964,1.21841
1.21841,1.21896
1.21893,1.21785
1.21785,1.21106
1.21113,1.21289
1.21287,1.21354
1.21089,1.21421
1.21421,1.21151
1.21151,1.20746
1.20746,1.20892
1.20893,1.20846
1.20846,1.20535
1.20522,1.20395
1.20397,1.20519
1.20517,1.20368
1.20372,1.20551
1.2055,1.20813
1.20813,1.20958
1.20937,1.21075
1.21072,1.21192
1.2119,1.21034
1.21034,1.20627
1.20627,1.20395
1.20401,1.2047
1.2044,1.20507
1.20506,1.20399
1.204,1.20478
1.20478,1.2049
1.20492,1.1937
1.1937,1.19295
1.19277,1.19055
1.19055,1.19022
1.19022,1.18956
1.18956,1.18476
1.18473,1.18255
1.18256,1.18253
1.18104,1.18069
1.18068,1.18305
1.18303,1.18126
1.18124,1.18184
1.18184,1.17752
1.17751,1.17657
1.17637,1.17743
1.17742,1.17642
1.17633,1.17777
1.17777,1.17648
1.17648,1.18487
1.18487,1.18334
1.18289,1.1813
1.18131,1.18249
1.18246,1.18226
1.18225,1.17724
1.17725,1.17853
1.17853,1.17964
1.1793,1.18117
1.18122,1.18348
1.18349,1.1844
1.1844,1.18204
1.18204,1.18209
1.1821,1.18329
1.18316,1.1814
1.1814,1.18088
1.18089,1.18013
1.18013,1.18536
1.18535,1.17535
1.17535,1.1738
1.17294,1.16782
1.16782,1.16543
1.16544,1.16585
1.16585,1.1717
1.1717,1.17226
1.17228,1.1709
1.1709,1.17162
1.17164,1.17053
1.1705,1.17383
1.17383,1.16986
1.16984,1.16511
1.16511,1.16543
1.16462,1.16667
1.16667,1.1684
1.16842,1.16414
1.16416,1.16377
1.16377,1.16255
1.16255,1.16206
1.16207,1.15831
1.1583,1.15777
1.15776,1.15976
1.15976,1.15646
1.15648,1.15339
1.15339,1.15442
1.15418,1.15503
1.15497,1.15505
1.15504,1.15553
1.15553,1.15399
1.15399,1.15238
1.15237,1.15126
1.14797,1.14797
1.14795,1.14648
1.14648,1.14903
1.14902,1.1491
1.14911,1.15151
1.15154,1.15167
1.15159,1.15905
1.15904,1.1563
1.1563,1.15742
1.15741,1.15471
1.15472,1.15302
1.15303,1.15184
1.15141,1.14798
1.14795,1.14781
1.14786,1.14955
1.14955,1.14315
1.14315,1.14952
1.14952,1.15331
1.15316,1.15059
1.15059,1.15051
1.15051,1.14958
1.14959,1.15029
1.15027,1.14817
1.14817,1.15012
1.14972,1.15427
1.15427,1.1588
1.15881,1.16297
1.16297,1.15754
1.15753,1.16015
1.16015,1.15863
1.16355,1.16117
1.16115,1.16049
1.1605,1.16918
1.16918,1.16922
1.16922,1.17091
1.17091,1.16807
1.16807,1.1695
1.16948,1.16817
1.16819,1.17144
1.17144,1.15554
1.1555,1.15245
1.15244,1.14919
1.14943,1.15019
1.15019,1.15211
1.1521,1.15383
1.15379,1.15568
1.15569,1.15656
1.15654,1.15392
1.15392,1.15337
1.15337,1.15246
1.15248,1.15281
1.1528,1.15095
1.15093,1.14811
1.14811,1.14685
1.14685,1.14709
1.14709,1.14657
1.14657,1.13708
1.1371,1.13783
1.13784,1.13974
1.13974,1.1423
1.14054,1.14242
1.14242,1.14012
1.14013,1.1366
1.1366,1.13717
1.13716,1.14177
1.14178,1.14322
1.14288,1.14306
1.14306,1.14279
1.14279,1.14323
1.14323,1.14182
1.1418,1.13835
1.13835,1.13799
1.13763,1.13717
1.13717,1.13683
1.13683,1.13299
1.13299,1.13426
1.13424,1.13143
1.13144,1.12681
1.12648,1.12272
1.12272,1.1243
1.12429,1.13259
1.13259,1.1336
1.13344,1.12644
1.12644,1.12538
1.12576,1.12642
1.1264,1.12318
1.12317,1.11751
1.11753,1.10609
1.10608,1.08964
1.08967,1.08449
1.07948,1.03998
1.03973,1.05339
1.0534,1.07542
1.07542,1.08802
1.08804,1.06815
1.06812,1.06895
1.06771,1.07697
1.07696,1.07698
1.07698,1.08074
1.08069,1.07715
1.0772,1.06756
1.06756,1.0729
1.07283,1.06916
1.06914,1.06476
1.06481,1.06899
1.069,1.06722
1.06715,1.08608
1.08609,1.0888
1.08859,1.08058
1.08055,1.0807
1.08073,1.07979
1.07979,1.08787
1.08787,1.10594
1.10598,1.11162
1.11099,1.11573
1.11572,1.11059
1.1106,1.12173
1.12185,1.10687
1.10687,1.11295
1.11293,1.11545
1.11595,1.11274
1.11275,1.10936
1.10936,1.12103
1.12103,1.12167
1.12167,1.1276
1.12762,1.13223
1.13186,1.133
1.133,1.1321
1.13208,1.13793
1.13792,1.1385
1.13856,1.14543
1.14544,1.14737
1.14733,1.14391
1.1439,1.14325
1.14325,1.14225
1.14225,1.1321
1.13211,1.12906
1.12906,1.13253
1.13225,1.13629
1.13629,1.1366
1.1366,1.12885
1.12886,1.1266
1.1266,1.11442
1.11443,1.11576
1.11557,1.11481
1.11482,1.11538
1.1154,1.11927
1.1193,1.11326
1.11323,1.10976
1.10979,1.10863
